63976,ну спорить не буду, я взял из левой статьи в интернете, книга как источник получше
64692,тут не про Польшу и речь
64692,польша это дырявая хрень мира
64616,кулаки можно сломать если они класс
63976,харакири что ли))$$
64703,Рожа ди Каприо, шо за хрень?
63976,я видимо ошибся, я посмотрел еще раз, по одной из версий он отказался принимать пищу и заморил себя голодом.
63976,нормально так
64636,кроме ледоруба
64636,боже, придумай что-то по смешнее, по раскинь мозгами
63976,сеппуку
64745,ТРУ ЗЕ ГЕЙТС ОФ ХЭЛ. АС УИ ГОТ АУЭР ЭЙ ТУ ХЕАВЕН, ТРУ ЗЕ НАЗИ ЛААААААЙНС.ПрИмО вИкТоРиЙАААА!!!!!
64636,ничего в голову не приходит
64678,вечная ага
64678,а как же целина и кукуруза? Перебил скот, чтобы перегнать США в производстве мяса - результат был предсказуем)
64612,Кэп, ты сейчас как никогда нужен.
63976,не, от пневмании же , или голодом уморил себя
63976,и полицейский его ударил?)
64627,А есть ли такая карта, только всей Европы и в хорошем качестве?
63976,а там вообще сложная ситуация, кто-то говорит что Цуда сам напал, кто-то что его Коля обидел.
64636,Обнуляй., спс
64678,да я вообще такого мнения,что после смерти Иосифа Виссарионовича все по пизде начало идти 😆
64703,На вид какой то внебрачный сын Эдварда Нортона и Ленина
64616,А кулаков можно сослать 
64630,а что между ними было?
63976,он получил от полицейского за неуважение, он задел его, вроде
63976,сеппку производится с отрубанием головы, а харакири-просто самоубийство
64643,Да это он не закусил просто.
64678,ну у каждого свои + и - . :D
64703,шокирующее фото, Ленин пиздит оружие у германии для революции
63976,он совершил суицид-живот разрезал.
64692,польша не мир
63976,это тоже верно, но во время сеппуки назначается кайсяку, который и отрубает голову
64692,Заебали про вторую мировую однообразное лепитьБольше ничегг и не знаете
63976,Судя по событиям в Оцу, он тоже себя не очень вел...
64661,😌👍
64643,Шкура пропившая страну!
64612,липтон
64643,Алкаш
64643,Почему Ельцин и Трамп похожи?
64636,лучший комент по мнению одмена обнуляя
64678,Завтра на парах будет семинар по Кукурузвельту. 22 съезд. Никитка дел наворотил, конечно))0 Столько напиздеть, это же надо было постараться, у него прям пятилетка по пиздежу была перевыполнена)
64630,Октавиан Август и Марк Антоний.
64616,так требую подсказки пикчи!
64678,не-а,пиздеж - самое то.
64722,У вас пиво, сигареты, водочка... У нас дом, учеба и бутылочка!
64145,#протестантыненужны
64616,надо сразу руку ломать.
63976,ну у пацанов свои дела видимо были, жаль самурая, прочел что он откинулся на зоне
63976,полицейский-Суда Сандзо, вроде. Бывший самурай
64661,роммель?
64630,Цезарь и Красс?
64678,но Никита конечно мастер международного класса по пиздежу,но и он ведь массу полезного сделал)
63976,Определённо  
64692,Hwału na wysokośći Rzeći Pospolitej śpiewajmy razem, wierni!
63976,честно, не знаю, но судя по вики ты прав, я просто не помню, так как год назад читал
63976,рукоятью от прусской сабли
64703,Ленин
64703,В царя целится
64636,Джон Фицджералд?
64145,Варфоломеевская ночь?
64703,роман в стихах "Либерал" (К столетию Февральской революции 1917 года) 
63976,ну что сказать- Николай видимо за свой базар ответил
64678,кстати, как считаешь, можно ли слово "пиздеж" заменить словосочетанием "ораторское мастерство"?
64636,давайте про ледоруб пошутим?
64703,Тонко,тонко)
64715,Берлинская стена?
63976,это покушения на него или что ?
64722,Ну так нам норм
63976,ну это я не помню, я книгу про Колю читал, поэтому рассказываю
64678,Надеюсь ни у кого не пригорит 
64636,может быть у кого нибудь смешнее получится?
64643,потому что если поставить им их рты вместо глаз - ничего не изменится
64692,Польша-это центр мира.
64636,ты уже пошутил
64692,но что характерно, лайков больше всего собирает контент про вв2.
64145,да
64643,-до свидания,я ухожу в отставку,товарищи 
63976,тоже самое, но сеппуку могут делать только самураи
64678,аналогично. Никита Сергеевич передал всю власть номенклатуре, а та начала изголяться над страной.
64616,так требую подсказки пикчи!
64636,кроме ледоруба
64703,шокирующее фото, Ленин пиздит оружие у германии для революции
64636,ничего в голову не приходит
64692,но что характерно, лайков больше всего собирает контент про вв2.
64722,У вас пиво, сигареты, водочка... У нас дом, учеба и бутылочка!
64643,Почему Ельцин и Трамп похожи?
64643,-до свидания,я ухожу в отставку,товарищи 
63976,Судя по событиям в Оцу, он тоже себя не очень вел...
64678,аналогично. Никита Сергеевич передал всю власть номенклатуре, а та начала изголяться над страной.
63976,он совершил суицид-живот разрезал.
64692,Hwału na wysokośći Rzeći Pospolitej śpiewajmy razem, wierni!
63976,это покушения на него или что ?
63976,честно, не знаю, но судя по вики ты прав, я просто не помню, так как год назад читал
64630,Цезарь и Красс?
64636,ты уже пошутил
64636,может быть у кого нибудь смешнее получится?
63976,тоже самое, но сеппуку могут делать только самураи
64661,😌👍
64692,Польша-это центр мира.
64643,Да это он не закусил просто.
64703,роман в стихах "Либерал" (К столетию Февральской революции 1917 года) 
63976,Определённо  
64145,да
63976,и полицейский его ударил?)
64636,боже, придумай что-то по смешнее, по раскинь мозгами
64616,надо сразу руку ломать.
64612,Кэп, ты сейчас как никогда нужен.
64678,кстати, как считаешь, можно ли слово "пиздеж" заменить словосочетанием "ораторское мастерство"?
64692,польша это дырявая хрень мира
63976,я видимо ошибся, я посмотрел еще раз, по одной из версий он отказался принимать пищу и заморил себя голодом.
64636,лучший комент по мнению одмена обнуляя
64627,А есть ли такая карта, только всей Европы и в хорошем качестве?
64678,не-а,пиздеж - самое то.
64703,В царя целится
63976,полицейский-Суда Сандзо, вроде. Бывший самурай
63976,харакири что ли))$$
64678,ну у каждого свои + и - . :D
64616,А кулаков можно сослать 
64145,#протестантыненужны
64678,Надеюсь ни у кого не пригорит 
64715,Берлинская стена?
64643,потому что если поставить им их рты вместо глаз - ничего не изменится
64661,роммель?
64630,Октавиан Август и Марк Антоний.
64722,Ну так нам норм
64612,липтон
64616,кулаки можно сломать если они класс
64678,вечная ага
64643,Алкаш
64636,Обнуляй., спс
64678,Завтра на парах будет семинар по Кукурузвельту. 22 съезд. Никитка дел наворотил, конечно))0 Столько напиздеть, это же надо было постараться, у него прям пятилетка по пиздежу была перевыполнена)
64703,Рожа ди Каприо, шо за хрень?
63976,ну это я не помню, я книгу про Колю читал, поэтому рассказываю
63976,а там вообще сложная ситуация, кто-то говорит что Цуда сам напал, кто-то что его Коля обидел.
64745,ТРУ ЗЕ ГЕЙТС ОФ ХЭЛ. АС УИ ГОТ АУЭР ЭЙ ТУ ХЕАВЕН, ТРУ ЗЕ НАЗИ ЛААААААЙНС.ПрИмО вИкТоРиЙАААА!!!!!
63976,это тоже верно, но во время сеппуки назначается кайсяку, который и отрубает голову
63976,сеппуку
63976,ну спорить не буду, я взял из левой статьи в интернете, книга как источник получше
63976,ну у пацанов свои дела видимо были, жаль самурая, прочел что он откинулся на зоне
64145,Варфоломеевская ночь?
63976,нормально так
64636,Джон Фицджералд?
64678,а как же целина и кукуруза? Перебил скот, чтобы перегнать США в производстве мяса - результат был предсказуем)
64703,Ленин
64692,польша не мир
64703,На вид какой то внебрачный сын Эдварда Нортона и Ленина
64703,Тонко,тонко)
63976,рукоятью от прусской сабли
64630,а что между ними было?
63976,ну что сказать- Николай видимо за свой базар ответил
64678,да я вообще такого мнения,что после смерти Иосифа Виссарионовича все по пизде начало идти 😆
64636,давайте про ледоруб пошутим?
64643,Шкура пропившая страну!
63976,он получил от полицейского за неуважение, он задел его, вроде
64692,Заебали про вторую мировую однообразное лепитьБольше ничегг и не знаете
64692,тут не про Польшу и речь
64678,но Никита конечно мастер международного класса по пиздежу,но и он ведь массу полезного сделал)
63976,сеппку производится с отрубанием головы, а харакири-просто самоубийство
63976,не, от пневмании же , или голодом уморил себя
